import time: self [us] | cumulative | imported package
import time:        73 |         73 | winreg
import time:       164 |        164 |   _io
import time:        57 |         57 |   marshal
import time:       144 |        144 |   nt
import time:       267 |        631 | _frozen_importlib_external
import time:       403 |        403 |   time
import time:        76 |        479 | zipimport
import time:        32 |         32 |     _codecs
import time:       202 |        233 |   codecs
import time:       428 |        428 |   encodings.aliases
import time:       726 |       1386 | encodings
import time:       207 |        207 | encodings.utf_8
import time:        31 |         31 |   _codecs_cn
import time:        28 |         28 |   _multibytecodec
import time:       307 |        365 | encodings.gbk
import time:        30 |         30 | _signal
import time:        18 |         18 |     _abc
import time:        67 |         85 |   abc
import time:        81 |        165 | io
import time:        30 |         30 |       _stat
import time:        33 |         63 |     stat
import time:       401 |        401 |     _collections_abc
import time:        31 |         31 |       genericpath
import time:        50 |         50 |       _winapi
import time:        40 |        120 |     ntpath
import time:       133 |        716 |   os
import time:        37 |         37 |   _sitebuiltins
import time:       219 |        219 |   encodings.utf_8_sig
import time:       453 |        453 |   _virtualenv
import time:        80 |         80 |   sitecustomize
import time:       764 |       2266 | site
import time:        81 |         81 |         itertools
import time:       190 |        190 |         keyword
import time:        43 |         43 |           _operator
import time:       293 |        335 |         operator
import time:       199 |        199 |         reprlib
import time:        41 |         41 |         _collections
import time:       554 |       1397 |       collections
import time:       224 |        224 |       collections.abc
import time:       183 |        183 |       copyreg
import time:       348 |        348 |           types
import time:        69 |         69 |           _functools
import time:       520 |        937 |         functools
import time:       427 |       1363 |       contextlib
import time:       979 |        979 |         enum
import time:        47 |         47 |           _sre
import time:       281 |        281 |             re._constants
import time:       318 |        599 |           re._parser
import time:       159 |        159 |           re._casefix
import time:       375 |       1179 |         re._compiler
import time:       516 |       2673 |       re
import time:       311 |        311 |       warnings
import time:        27 |         27 |       _typing
import time:      1524 |       7698 |     typing
import time:       182 |        182 |             concurrent
import time:       177 |        177 |                       token
import time:        24 |         24 |                       _tokenize
import time:       612 |        811 |                     tokenize
import time:       165 |        976 |                   linecache
import time:       633 |        633 |                   textwrap
import time:       394 |       2002 |                 traceback
import time:       204 |        204 |                   _weakrefset
import time:       331 |        535 |                 weakref
import time:        23 |         23 |                   _string
import time:       390 |        413 |                 string
import time:       510 |        510 |                 threading
import time:        31 |         31 |                 atexit
import time:      1105 |       4593 |               logging
import time:       437 |       5029 |             concurrent.futures._base
import time:       224 |       5435 |           concurrent.futures
import time:        42 |         42 |           errno
import time:        35 |         35 |             _heapq
import time:       233 |        267 |           heapq
import time:      1948 |       1948 |             _socket
import time:        46 |         46 |               math
import time:       414 |        414 |               select
import time:       462 |        921 |             selectors
import time:       687 |       3555 |           socket
import time:        36 |         36 |               _locale
import time:       624 |        660 |             locale
import time:       312 |        312 |             signal
import time:        89 |         89 |             fcntl
import time:        28 |         28 |             msvcrt
import time:       582 |       1669 |           subprocess
import time:      2689 |       2689 |             _ssl
import time:        82 |         82 |                 _struct
import time:       180 |        262 |               struct
import time:        38 |         38 |               binascii
import time:       340 |        639 |             base64
import time:      1304 |       4631 |           ssl
import time:       236 |        236 |           asyncio.constants
import time:       480 |        480 |                 _ast
import time:       743 |       1223 |               ast
import time:        24 |         24 |                   _opcode
import time:       343 |        367 |                 opcode
import time:       601 |        967 |               dis
import time:       222 |        222 |                 importlib
import time:        39 |        261 |               importlib.machinery
import time:      1261 |       3711 |             inspect
import time:       170 |       3881 |           asyncio.coroutines
import time:        25 |         25 |               _contextvars
import time:       188 |        213 |             contextvars
import time:       163 |        163 |             asyncio.format_helpers
import time:       178 |        178 |               asyncio.base_futures
import time:       187 |        187 |               asyncio.exceptions
import time:       147 |        147 |               asyncio.base_tasks
import time:       454 |        965 |             _asyncio
import time:       370 |       1710 |           asyncio.events
import time:       594 |        594 |           asyncio.futures
import time:       253 |        253 |           asyncio.protocols
import time:       229 |        229 |             asyncio.transports
import time:       142 |        142 |             asyncio.log
import time:       428 |        798 |           asyncio.sslproto
